mgi_symbol,hgnc_symbol
Daam2,DAAM2
Olfr714,OR10A2
Olfr714,OR10A5
Olfr995,OR5AK2
Eif2s2,EIF2S2
P2rx3,P2RX3
Ankrd36,POTEB3
Ankrd36,POTEA
Ankrd36,POTEB
Ankrd36,POTEF
Rnmt,RNMT
Kcnk7,KCNK7
Tmem238l,TMEM238L
Olfr698,OR2AG2
Olfr698,OR2AG1
Zmiz1,ZMIZ1
Wfdc10,WFDC10A
Jchain,JCHAIN
1700001L19Rik,C5orf49
Ppp6c,PPP6C
Ripk2,RIPK2
Mrc1,MRC1
Atp6v1d,ATP6V1D
Nol11,NOL11
Acoxl,ACOXL
Nkx2-3,NKX2-3
Snrpa,SNRPA
Usp7,USP7
Sirt1,SIRT1
Chmp4b,CHMP4B
Krtap29-1,KRTAP29-1
Rnf183,RNF183
Hnrnpa3,HNRNPA3
Nrn1,NRN1
Egr1,EGR1
Zfp658,ZNF175
Tex45,TEX45
Nudt22,NUDT22
Tyrp1,TYRP1
Atp2b2,ATP2B2
Alg9,ALG9
Atat1,ATAT1
Pdzd8,PDZD8
Akap6,AKAP6
Try10,PRSS3
Twsg1,TWSG1
Zpr1,ZPR1
Prr22,PRR22
Irf7,IRF7
Mas1,MAS1
Ear6,RNASE3
Ear6,RNASE2
Mrpl17,MRPL17
Asprv1,ASPRV1
Usp5,USP5
Tlx1,TLX1
Igkv17-121,IGKV5-2
Pfkfb3,PFKFB3
Scai,SCAI
Scgb1a1,SCGB1A1
Socs1,SOCS1
Gm10031,CSNK2A1
Smurf1,SMURF1
Crmp1,CRMP1
Myt1,MYT1
Selenoi,SELENOI
C8g,C8G
Lrfn2,LRFN2
Sptssa,SPTSSA
Phf11c,PHF11
Zfp715,ZNF175
Coq8b,COQ8B
Sco1,SCO1
Dus3l,DUS3L
Phf11d,PHF11
Slc39a9,SLC39A9
Eid2,EID2
2310030G06Rik,C11orf52
Mcoln1,MCOLN1
AI661453,C6orf132
Iglc2,IGLL5
Iglc2,IGLC1
Iglc2,IGLC2
Iglc2,IGLC3
Iglc2,IGLC7
Elovl3,ELOVL3
Ipo5,IPO5
Dsg3,DSG3
Gm17669,RPL29
Smim7,SMIM7
Krtap4-9,KRTAP4-3
Gm11554,KRTAP4-3
Klf11,KLF11
Jup,JUP
Cherp,CHERP
Hnf4g,HNF4G
Pam,PAM
Cldn2,CLDN2
Armc12,ARMC12
Rbm26,RBM26
Tln1,TLN1
Zkscan3,ZKSCAN4
Atp4a,ATP4A
Necab3,NECAB3
Rab39b,RAB39B
Bco1,BCO1
Hrasls5,HRASLS5
Fbxl22,FBXL22
Trpt1,TRPT1
Foxd1,FOXD1
Gpnmb,GPNMB
Magea6,MAGEA3
Magea6,MAGEA2B
Magea6,MAGEA12
Magea6,MAGEA6
Magea6,MAGEA2
Pcdh1,PCDH1
Ntn5,NTN5
Zfp598,ZNF598
Setbp1,SETBP1
Pafah1b1,PAFAH1B1
Rpl10l,RPL10L
Polr3k,POLR3K
E2f6,E2F6
Igkv10-96,IGKV1-5
Igkv10-96,IGKV1-9
Igkv10-96,IGKV1-12
Igkv10-96,IGKV1-16
Igkv10-96,IGKV1-17
Igkv10-96,IGKV1-27
Igkv10-96,IGKV1-33
Igkv10-96,IGKV1-37
Igkv10-96,IGKV1-39
Igkv10-96,IGKV1D-39
Igkv10-96,IGKV1D-37
Igkv10-96,IGKV1D-33
Igkv10-96,IGKV1D-16
Igkv10-96,IGKV1D-17
Igkv10-96,IGKV1D-13
Igkv10-96,IGKV1D-12
Igkv10-96,IGKV1D-43
Tmem174,TMEM174
Igkv14-111,IGKV1-5
Igkv14-111,IGKV1-9
Igkv14-111,IGKV1-12
Igkv14-111,IGKV1-16
Igkv14-111,IGKV1-17
Igkv14-111,IGKV1-27
Igkv14-111,IGKV1-33
Igkv14-111,IGKV1-37
Igkv14-111,IGKV1-39
Igkv14-111,IGKV1D-39
Igkv14-111,IGKV1D-37
Igkv14-111,IGKV1D-33
Igkv14-111,IGKV1D-16
Igkv14-111,IGKV1D-17
Igkv14-111,IGKV1D-13
Igkv14-111,IGKV1D-12
Igkv14-111,IGKV1D-43
Krtap1-3,KRTAP1-5
Krtap1-3,KRTAP1-4
Krtap1-3,KRTAP1-3
Krtap1-3,KRTAP1-1
Acaa1b,ACAA1
Igkv8-21,IGKV4-1
Vax1,VAX1
Gm3550,RPL29
Serpinb3c,SERPINB3
Gm6741,NANP
Fbxl2,FBXL2
Plekhj1,PLEKHJ1
Pgm2l1,PGM2L1
Snrnp48,SNRNP48
Pdia2,PDIA2
Rnf152,RNF152
Rffl,RFFL
Zfp358,ZNF358
Map2k2,MAP2K2
Rnase9,RNASE9
Lpin1,LPIN1
Dgkh,DGKH
Car5b,CA5B
Lama1,LAMA1
Vax2,VAX2
Hacl1,HACL1
Lyrm4,LYRM4
Zzef1,ZZEF1
Col11a2,COL11A2
Olfr750,OR6S1
Pyy,PYY
Tpx2,TPX2
Mtif2,MTIF2
Egln3,EGLN3
Cdc37l1,CDC37L1
Dsg1c,DSG1
Pex11g,PEX11G
Krtap1-5,KRTAP1-5
Krtap1-5,KRTAP1-4
Krtap1-5,KRTAP1-3
Krtap1-5,KRTAP1-1
Flrt3,FLRT3
Atp13a1,ATP13A1
Fam71d,FAM71D
Kcne3,KCNE3
Phf11b,PHF11
Emc2,EMC2
4930404N11Rik,C19orf71
Lvrn,LVRN
Kcnh8,KCNH8
Vegfd,VEGFD
Hcst,HCST
Krtap2-4,KRTAP2-1
Krtap2-4,KRTAP2-2
Krtap2-4,KRTAP2-3
Krtap2-4,KRTAP2-4
Cluh,CLUH
Ptges,PTGES
H2-Q1,HLA-B
H2-Q1,HLA-C
Twistnb,TWISTNB
Bsg,BSG
Krt40,KRT40
Uchl1,UCHL1
Pacs1,PACS1
Echdc1,ECHDC1
Gm10334,PRSS3
Sarm1,SARM1
Smarca4,SMARCA4
Nr1h3,NR1H3
Gins1,GINS1
Ggnbp2,GGNBP2
Epx,EPX
Tmem236,TMEM236
Ip6k2,IP6K2
Tmem156,TMEM156
Dhrs11,DHRS11
Coro2a,CORO2A
Pnpo,PNPO
Wdr19,WDR19
Ldah,LDAH
Fpr-rs6,FPR3
Fam45a,FAM45A
Zfp207,ZNF207
Nlrc5,NLRC5
Kpna7,KPNA7
Lig3,LIG3
Lamc3,LAMC3
Ksr1,KSR1
Gm11568,KRTAP9-1
Ccl5,CCL5
Krt28,KRT28
Macrod2,MACROD2
Dnajc12,DNAJC12
Pidd1,PIDD1
Ubp1,UBP1
Egr4,EGR4
Igkv14-130,IGKV1-6
Natd1,NATD1
Gm49369,CTSD
Serpinb3a,SERPINB3
Gata5,GATA5
Rps15,RPS15
Lrit2,LRIT2
Mgat5,MGAT5
1700088E04Rik,C22orf23
Idi2,IDI2
Tnrc6a,TNRC6A
Ccser2,CCSER2
Ear14,RNASE3
Ear14,RNASE2
Slc6a8,SLC6A8
Rufy3,RUFY3
Rnf14,RNF14
H2-Eb2,HLA-DRB5
H2-Eb2,HLA-DRB1
Tmem45b,TMEM45B
Smim20,SMIM20
Spag16,SPAG16
Dap,DAP
Sept6,SEPT6
Irx6,IRX6
Nup160,NUP160
Sult6b1,SULT6B1
Zscan26,ZSCAN26
Slc25a18,SLC25A18
Hoxd8,HOXD8
Espn,ESPN
Mill1,MICA
Mill1,MICB
Chpf,CHPF
Ulk3,ULK3
Osmr,OSMR
Exoc3,EXOC3
Wdr82,WDR82
Gm11563,KRTAP4-7
Gm11563,KRTAP4-16
Gm11563,KRTAP4-8
Gm11563,KRTAP4-9
Gm11563,KRTAP4-11
Gm11563,KRTAP4-12
Gm11563,KRTAP4-6
Gm11563,KRTAP4-5
Greb1,GREB1
Ypel5,YPEL5
Slc22a27,SLC22A25
Slc22a27,SLC22A9
Metap1d,METAP1D
Gm11562,KRTAP2-1
Gm11562,KRTAP2-2
Gm11562,KRTAP2-3
Gm11562,KRTAP2-4
Pkhd1l1,PKHD1L1
Rraga,RRAGA
Mcrip2,MCRIP2
Fgf7,FGF7
Tpm2,TPM2
D330045A20Rik,CXorf57
Ntf5,NTF4
Ebpl,EBPL
Lpar4,LPAR4
Gng13,GNG13
Hk3,HK3
Fibin,FIBIN
Lbh,LBH
Usp2,USP2
Polr2e,POLR2E
Ndufa9,NDUFA9
AI314180,ECPAS
Rapgefl1,RAPGEFL1
Nans,NANS
Aldh3a2,ALDH3A2
Dlg3,DLG3
Dusp8,DUSP8
Zdhhc11,ZDHHC11B
Brd9,BRD9
Rad51d,RAD51D
Tmem220,TMEM220
Cmip,CMIP
Iqgap2,IQGAP2
Rapgef1,RAPGEF1
Timp2,TIMP2
Mum1l1,MUM1L1
Slc35b3,SLC35B3
Bcl2l13,BCL2L13
Aasdhppt,AASDHPPT
Prmt1,PRMT1
Ccdc27,CCDC27
Igkv6-20,IGKV4-1
Pcdh12,PCDH12
Fpr3,FPR3
Ppp4r1,PPP4R1
Kank1,KANK1
Sox30,SOX30
Cln8,CLN8
Padi3,PADI3
Larp4b,LARP4B
Ddb2,DDB2
Tmsb15a,TMSB15A
Ighv3-1,IGHV4OR15-8
Popdc3,POPDC3
Cox4i2,COX4I2
Nap1l4,NAP1L4
Rictor,RICTOR
Ing4,ING4
Pcmtd2,PCMTD2
9330159F19Rik,KIAA0408
H2-D1,HLA-B
H2-D1,HLA-C
Rab2a,RAB2A
Hdac5,HDAC5
Tor1a,TOR1A
Cpvl,CPVL
Ppp1r21,PPP1R21
Rpl32,RPL32
Tnfsf11,TNFSF11
Ankrd33b,ANKRD33B
Nt5c3b,NT5C3B
Ddx56,DDX56
Map3k11,MAP3K11
Mpp5,MPP5
Il1a,IL1A
Mmp2,MMP2
Mta2,MTA2
Osgin2,OSGIN2
Abcc10,ABCC10
Fsip1,FSIP1
Top1mt,TOP1MT
Tmem200c,TMEM200C
Acp2,ACP2
Id1,ID1
Itm2b,ITM2B
Gm17018,DPCD
Ceacam15,CEACAM21
Tusc5,TRARG1
Pradc1,PRADC1
Hs6st1,HS6ST1
Pcnx3,PCNX3
Ldoc1,LDOC1
Rara,RARA
Rom1,ROM1
Nphs1,NPHS1
Srp14,SRP14
Slc25a51,SLC25A52
Taf9b,TAF9B
Trappc8,TRAPPC8
Lrrc6,LRRC6
Slc25a22,SLC25A22
Hmg20b,HMG20B
Creb3,CREB3
Trim14,TRIM14
Tlr1,TLR1
Cirbp,CIRBP
Lhb,LHB
Lhb,CGB3
Lhb,CGB1
Lhb,CGB2
Lhb,CGB5
Lhb,CGB8
Lhb,CGB7
Chek2,CHEK2
Glyctk,GLYCTK
Krt33a,KRT33A
Krt33a,KRT33B
Krt33a,KRT34
Krt33a,KRT31
Ttc30a1,TTC30B
Olfr464,OR4D1
Krt39,KRT39
Sox10,SOX10
H2afb3,H2AFB2
H2afb3,H2AFB3
Igkv8-19,IGKV4-1
Capn10,CAPN10
Igkv9-124,IGKV1-5
Igkv9-124,IGKV1-9
Igkv9-124,IGKV1-12
Igkv9-124,IGKV1-16
Igkv9-124,IGKV1-17
Igkv9-124,IGKV1-27
Igkv9-124,IGKV1-33
Igkv9-124,IGKV1-37
Igkv9-124,IGKV1-39
Igkv9-124,IGKV1D-39
Igkv9-124,IGKV1D-37
Igkv9-124,IGKV1D-33
Igkv9-124,IGKV1D-16
Igkv9-124,IGKV1D-17
Igkv9-124,IGKV1D-13
Igkv9-124,IGKV1D-12
Igkv9-124,IGKV1D-43
Sesn3,SESN3
Cmtm2b,CMTM2
Ifitm5,IFITM5
Sar1b,SAR1B
Igkv5-37,IGKV6-21
Igkv5-37,IGKV6D-21
Igkv5-37,IGKV6D-41
Nudcd1,NUDCD1
Dhrs4,DHRS4L2
Dhrs4,DHRS4
Igkv8-27,IGKV4-1
St6galnac6,ST6GALNAC6
Traf2,TRAF2
Phf21a,PHF21A
Guca1a,GUCA1A
Fkbp10,FKBP10
Ergic3,ERGIC3
Creb3l1,CREB3L1
Gm9495,POTEB3
Gm9495,POTEA
Gm9495,POTEB
Gm9495,POTEF
Rtl3,RTL3
Igkv8-28,IGKV4-1
1700003F12Rik,C20orf144
Rnase10,RNASE10
Haus6,HAUS6
Musk,MUSK
Gabarapl1,GABARAPL1
Prr15l,PRR15L
Crybb3,CRYBB3
Dsc2,DSC2
Araf,ARAF
Zfpm2,ZFPM2
Smpx,SMPX
Ccdc74a,CCDC74B
Igkv6-17,IGKV4-1
Hist1h3g,HIST1H3I
Bmper,BMPER
Gm11569,KRTAP4-3
Rdm1,RDM1
Ocel1,OCEL1
Kcng1,KCNG1
Igkv6-13,IGKV4-1
Snrnp25,SNRNP25
Car8,CA8
3830417A13Rik,MAGEA3
3830417A13Rik,MAGEA2B
3830417A13Rik,MAGEA12
3830417A13Rik,MAGEA6
3830417A13Rik,MAGEA2
Unc80,UNC80
Kif18b,KIF18B
Fpr-rs3,FPR3
Bcl2l1,BCL2L1
Ccdc146,CCDC146
Cct7,CCT7
Armc6,ARMC6
Dsg1a,DSG1
Hoxd3,HOXD3
Smc2,SMC2
Olfr694,OR2AG2
Olfr694,OR2AG1
Pnisr,PNISR
Epb41l2,EPB41L2
Gpr22,GPR22
Deup1,DEUP1
Rab40c,RAB40C
Tmem141,TMEM141
Txndc5,TXNDC5
Gm49380,RNF26
Rnf20,RNF20
Foxb2,FOXB2
Dlx2,DLX2
Cdon,CDON
Mpg,MPG
Rcc2,RCC2
Gm996,AJM1
Rp9,RP9
Chchd5,CHCHD5
Tmem30b,TMEM30B
Krt34,KRT33A
Krt34,KRT33B
Krt34,KRT34
Krt34,KRT31
Igkv10-94,IGKV1-5
Igkv10-94,IGKV1-9
Igkv10-94,IGKV1-12
Igkv10-94,IGKV1-16
Igkv10-94,IGKV1-17
Igkv10-94,IGKV1-27
Igkv10-94,IGKV1-33
Igkv10-94,IGKV1-37
Igkv10-94,IGKV1-39
Igkv10-94,IGKV1D-39
Igkv10-94,IGKV1D-37
Igkv10-94,IGKV1D-33
Igkv10-94,IGKV1D-16
Igkv10-94,IGKV1D-17
Igkv10-94,IGKV1D-13
Igkv10-94,IGKV1D-12
Igkv10-94,IGKV1D-43
Ncor1,NCOR1
Gorasp2,GORASP2
Trrap,TRRAP
Nadk2,NADK2
Olfr267,OR2K2
Nhlrc2,NHLRC2
Tlr7,TLR7
Prdx3,PRDX3
Ftcd,FTCD
Wdr38,WDR38
Dlec1,DLEC1
Nek8,NEK8
Slitrk6,SLITRK6
Spdye4b,SPDYE16
Ccnd1,CCND1
Hsdl1,HSDL1
Fgl2,FGL2
Hspa12a,HSPA12A
H2-Q4,HLA-B
H2-Q4,HLA-C
H2-Eb1,HLA-DRB5
H2-Eb1,HLA-DRB1
2310061I04Rik,C6orf136
Runx1t1,RUNX1T1
Olfr713,OR10A2
Olfr713,OR10A5
Hoxd1,HOXD1
Anapc1,ANAPC1
Nrtn,NRTN
Exoc2,EXOC2
Kif13a,KIF13A
Arap3,ARAP3
Pik3cg,PIK3CG
Dhrs7b,DHRS7B
Tmem196,TMEM196
Tbc1d10a,TBC1D10A
Ighv8-13,IGHV2OR16-5
Bcl7c,BCL7C
Pde4a,PDE4A
Sipa1,SIPA1
Pkn1,PKN1
Csf2ra,CSF2RA
Foxe1,FOXE1
Slc9a5,SLC9A5
Capns1,CAPNS1
Apoa1,APOA1
Tmsb15b2,TMSB15A
Wipf2,WIPF2
Trim13,TRIM13
4933405L10Rik,C16orf86
Tmem199,TMEM199
Gm37797,MARCOL
Got1,GOT1
Olfr404-ps1,OR1P1
Neurl3,NEURL3
Gripap1,GRIPAP1
Rasip1,RASIP1
Hlf,HLF
Slc15a5,SLC15A5
Izumo1,IZUMO1
Nomo1,NOMO2
Cpt1c,CPT1C
Tmem14c,TMEM14B
Asah1,ASAH1
Eif2ak4,EIF2AK4
Cep295,CEP295
Caml,CAMLG
Skp2,SKP2
Col19a1,COL19A1
Ccdc122,CCDC122
Dbf4,DBF4
Bves,BVES
Scn5a,SCN5A
Rpp40,RPP40
Olfr697,OR2AG2
Olfr697,OR2AG1
Ear2,RNASE3
Ear2,RNASE2
Gnpda1,GNPDA1
Chmp4c,CHMP4C
Oprl1,OPRL1
Hif1a,HIF1A
Fam46d,TENT5D
Spryd7,SPRYD7
Gm49321,SNAPC1
Slc5a12,SLC5A12
Col9a1,COL9A1
Slc11a1,SLC11A1
Olfr715b,OR2D2
Tmem40,TMEM40
Spin2g,SPIN2B
Spin2g,SPIN2A
Kpna3,KPNA3
Nampt,NAMPT
Figla,FIGLA
Cfap77,CFAP77
Jade2,JADE2
Evc,EVC
Slc46a1,SLC46A1
Magea5,MAGEA3
Magea5,MAGEA2B
Magea5,MAGEA12
Magea5,MAGEA6
Magea5,MAGEA2
Yif1a,YIF1A
Col4a4,COL4A4
Gipc1,GIPC1
Hus1b,HUS1B
Impact,IMPACT
Nin,NIN
Mrln,MRLN
Efr3a,EFR3A
Nptx1,NPTX1
Snrnp70,SNRNP70
Crlf2,CRLF2
Vtn,VTN
Appbp2,APPBP2
Igkv9-123,IGKV1-5
Igkv9-123,IGKV1-9
Igkv9-123,IGKV1-12
Igkv9-123,IGKV1-16
Igkv9-123,IGKV1-17
Igkv9-123,IGKV1-27
Igkv9-123,IGKV1-33
Igkv9-123,IGKV1-37
Igkv9-123,IGKV1-39
Igkv9-123,IGKV1D-39
Igkv9-123,IGKV1D-37
Igkv9-123,IGKV1D-33
Igkv9-123,IGKV1D-16
Igkv9-123,IGKV1D-17
Igkv9-123,IGKV1D-13
Igkv9-123,IGKV1D-12
Igkv9-123,IGKV1D-43
Klf1,KLF1
Iglc4,IGLL5
Iglc4,IGLC1
Iglc4,IGLC2
Iglc4,IGLC3
Iglc4,IGLC7
Spata31,SPATA31A1
Elovl2,ELOVL2
Prkcq,PRKCQ
Nudcd3,NUDCD3
Gm43218,IGKV4-1
Ttc39c,TTC39C
Acyp2,ACYP2
Mamdc4,MAMDC4
Wwc1,WWC1
Ddhd1,DDHD1
Tmem159,TMEM159
Krt33b,KRT33A
Krt33b,KRT33B
Krt33b,KRT34
Krt33b,KRT31
Ube2c,UBE2C
Cetn2,CETN2
Slc35e1,SLC35E1
Gm5737,SDR42E2
Gamt,GAMT
Abca7,ABCA7
Rab31,RAB31
Spidr,SPIDR
Mrpl18,MRPL18
Cnnm1,CNNM1
Ehbp1,EHBP1
Hps6,HPS6
Serpinb7,SERPINB7
Atp5d,ATP5F1D
Galnt16,GALNT16
Ddx46,DDX46
Mrpl52,MRPL52
Magea1,MAGEA3
Magea1,MAGEA2B
Magea1,MAGEA12
Magea1,MAGEA6
Magea1,MAGEA2
Slc2a8,SLC2A8
Phpt1,PHPT1
Aipl1,AIPL1
Ptges2,PTGES2
Krt23,KRT23
Wfdc9,WFDC9
Ak3,AK3
Rnf43,RNF43
Hist1h2bm,HIST1H2BD
Spry2,SPRY2
Magea2,MAGEA3
Magea2,MAGEA2B
Magea2,MAGEA12
Magea2,MAGEA6
Magea2,MAGEA2
Grk3,GRK3
Nfatc2,NFATC2
Ubap2,UBAP2
Ankrd16,ANKRD16
Sdhb,SDHB
Fam216b,FAM216B
Zfp719,ZNF175
Apobr,APOBR
Pdcd5,PDCD5
Itm2a,ITM2A
Lmbrd2,LMBRD2
Gja10,GJA10
Fkbp5,FKBP5
Tmem100,TMEM100
Mrpl40,MRPL40
Lrrc23,LRRC23
Padi1,PADI1
Erich2,ERICH2
Ighv8-12,IGHV2OR16-5
Spin2-ps6,SPIN2B
Spin2-ps6,SPIN2A
Dnttip1,DNTTIP1
Ang5,ANG
Kirrel2,KIRREL2
Stard10,STARD10
Anp32b,ANP32B
Agbl2,AGBL2
Slco4c1,SLCO4C1
Cebpz,CEBPZ
Ferd3l,FERD3L
Taf8,TAF8
Igkv8-30,IGKV4-1
Pimreg,PIMREG
Dnajb1,DNAJB1
Usp17lb,USP17L2
Usp17lb,USP17L7
Gcdh,GCDH
Lifr,LIFR
Pias4,PIAS4
Zfp160,ZNF160
Fbxo41,FBXO41
Prss2,PRSS3
Cox15,COX15
Cdhr1,CDHR1
Aspscr1,ASPSCR1
Frmpd4,FRMPD4
Gas2,GAS2
Mapre3,MAPRE3
Apobec1,APOBEC1
Gsto2,GSTO2
Azin1,AZIN1
Bag1,BAG1
Acaca,ACACA
Sgk2,SGK2
Cuedc2,CUEDC2
Arpc1b,ARPC1B
Gdf3,GDF3
Tas2r113,TAS2R14
Sntg1,SNTG1
Isyna1,ISYNA1
Dbh,DBH
Nipa2,NIPA2
Il2rg,IL2RG
Sacm1l,SACM1L
Arsg,ARSG
Maf1,MAF1
Cactin,CACTIN
Spib,SPIB
Bcap31,BCAP31
Nrsn2,NRSN2
Btg3,BTG3
Eef1akmt1,EEF1AKMT1
Cog1,COG1
Cyp20a1,CYP20A1
Olfr492,OR5P2
Rbfox3,RBFOX3
Tnk1,TNK1
Mei4,MEI4
Fam228a,FAM228A
Slc38a5,SLC38A5
Dtwd1,DTWD1
Txn2,TXN2
Igsf23,IGSF23
Arntl2,ARNTL2
Krt86,KRT83
Sln,SLN
Rcan1,RCAN1
Rnf225,RNF225
Blcap,BLCAP
Peg10,PEG10
Il1f6,IL36A
Mapkbp1,MAPKBP1
Cdh7,CDH7
Mfsd14b,MFSD14B
Tbc1d14,TBC1D14
Krt32,KRT32
Olfr357,OR1Q1
Nacc1,NACC1
Top2a,TOP2A
Slc10a1,SLC10A1
Fgfr4,FGFR4
Nhlrc1,NHLRC1
Ephx2,EPHX2
Slc25a20,SLC25A20
4933424G06Rik,C2orf92
Npb,NPB
Mfsd13a,MFSD13A
Rprd1b,RPRD1B
Bcat1,BCAT1
Pde8b,PDE8B
Adam23,ADAM23
Gm7334,BTG3
Dnah11,DNAH11
Esco1,ESCO1
Pcdh17,PCDH17
Sstr5,SSTR5
Enox2,ENOX2
Fcgbp,FCGBP
Wdr27,WDR27
,ZNF789
Spata22,SPATA22
Gm20422,ZNF788P
Rps20,RPS20
Crybb1,CRYBB1
Vps35,VPS35
Zic3,ZIC3
Wfs1,WFS1
Morn5,MORN5
Fut9,FUT9
Pdap1,PDAP1
Zcchc10,ZCCHC10
Slc17a9,SLC17A9
Mrps6,MRPS6
Tap2,TAP2
Zdhhc3,ZDHHC3
Atrip,ATRIP
Stoml3,STOML3
Lyg1,LYG1
Wrap73,WRAP73
Lrrc73,LRRC73
Nsf,NSF
Il18,IL18
1700020D05Rik,NSMCE3
Prmt5,PRMT5
Cpeb2,CPEB2
Upk1a,UPK1A
Lrch2,LRCH2
Slc27a6,SLC27A6
Tsnaxip1,TSNAXIP1
Stat6,STAT6
Nrg2,NRG2
Nop14,NOP14
Epha4,EPHA4
Taar8b,TAAR8
Mcm6,MCM6
Hnrnpdl,HNRNPDL
Tas2r129,TAS2R14
Kif1bp,KIF1BP
Slc45a4,SLC45A4
Ehd3,EHD3
Rreb1,RREB1
Pcsk4,PCSK4
Actg2,ACTG2
Fgfr1op,FGFR1OP
Slc29a1,SLC29A1
Mx1,MX1
Armc10,ARMC10
Limd1,LIMD1
Med23,MED23
Catsperg2,CATSPERG
Tas2r110,TAS2R14
Iglc4,IGLL1
Ldb2,LDB2
Mipol1,MIPOL1
Fbxo39,FBXO39
Vps26a,VPS26A
Magohb,MAGOHB
Tmed10,TMED10
Tmem173,TMEM173
Aars2,AARS2
Fbxo24,FBXO24
Chmp2a,CHMP2A
Calr,CALR
Tacc1,TACC1
Lama2,LAMA2
2210418O10Rik,ZNF788P
Ptchd1,PTCHD1
Brd2,BRD2
Dmbt1,DMBT1
Tubg1,TUBG1
Trim28,TRIM28
Bcs1l,BCS1L
Gpc3,GPC3
Olfr355,OR1L8
Snx12,SNX12
Chst3,CHST3
Itgal,ITGAL
Stambp,STAMBP
Mvb12b,MVB12B
Gm14434,ZNF788P
Tmem164,TMEM164
Tmem145,TMEM145
Rxfp3,RXFP3
Pknox1,PKNOX1
Lipt1,LIPT1
Dhx38,DHX38
Smcr8,SMCR8
Uqcrq,UQCRQ
Cd300lf,CD300LD
Kcng4,KCNG4
Gfpt2,GFPT2
Ttc21b,TTC21B
Cenpk,CENPK
2310011J03Rik,C19orf25
Clrn2,CLRN2
Elp6,ELP6
Rrm1,RRM1
Ugdh,UGDH
Cidea,CIDEA
Kcne1l,KCNE5
Gm4924,ZNF788P
Scn11a,SCN11A
Jdp2,JDP2
Fshr,FSHR
Prkcz,PRKCZ
Pigu,PIGU
Fads3,FADS3
Cenpj,CENPJ
Mepce,MEPCE
Hsf5,HSF5
Hspa14,HSPA14
Fam20c,FAM20C
Itpa,ITPA
Diras2,DIRAS2
Fam118b,FAM118B
Top2b,TOP2B
Chst8,CHST8
Olfr1,OR1E1
Olfr1,OR1E2
Klk1b22,KLK1
Gm2381,ZNF788P
Gem,GEM
Fam107b,FAM107B
2310057J18Rik,C6orf58
Kremen1,KREMEN1
Xaf1,XAF1
Mcm9,MCM9
Gm7298,PZP
Pdyn,PDYN
Fam192a,FAM192A
Ccnt2,CCNT2
D1Ertd622e,C5orf30
Ripor1,RIPOR1
2410141K09Rik,ZNF788P
Atp6v0d1,ATP6V0D1
Thbs2,THBS2
Msx2,MSX2
Gm14419,ZNF788P
Rasgrf1,RASGRF1
Impa2,IMPA2
Myo6,MYO6
Fxr2,FXR2
Rbfa,RBFA
Lpin2,LPIN2
Eipr1,EIPR1
Fbxl13,FBXL13
Nat3,NAT1
Nat3,NAT2
Gm14139,ZNF788P
Slc25a29,SLC25A29
Wbp1,WBP1
Col14a1,COL14A1
Fgf8,FGF8
Gfm2,GFM2
Nmt2,NMT2
Irgc1,IRGC
Glcci1,GLCCI1
Fig4,FIG4
Exd1,EXD1
Slc9b2,SLC9B2
Rbm12b2,RBM12B
Ccdc150,CCDC150
Cep89,CEP89
Morn4,MORN4
Clpb,CLPB
Eif5b,EIF5B
Xkr4,XKR4
Klhdc7a,KLHDC7A
Il17re,IL17RE
Tmem68,TMEM68
Atp9a,ATP9A
Limk1,LIMK1
Spag4,SPAG4
Dhx57,DHX57
Fshb,FSHB
Clu,CLU
Casd1,CASD1
Focad,FOCAD
Mzf1,MZF1
Cyp17a1,CYP17A1
Gm4312,ALYREF
Myb,MYB
Gmfb,GMFB
Olfr495,OR5P2
Sct,SCT
Rrp36,RRP36
Slc15a3,SLC15A3
Srsf7,SRSF7
Cdc42ep4,CDC42EP4
Tgm1,TGM1
Mos,MOS
Ube2v2,UBE2V2
Ptp4a1,PTP4A1
Arc,ARC
Metrnl,METRNL
Tmprss4,TMPRSS4
Cul4b,CUL4B
Lrtm2,LRTM2
Spata32,SPATA32
Cdk1,CDK1
Vamp8,VAMP8
Ykt6,YKT6
Krt83,KRT83
Hdc,HDC
Commd9,COMMD9
,SP110
Hyal5,SPAM1
Stk11ip,STK11IP
Cfap44,CFAP44
Tas2r114,TAS2R10
Tmem232,TMEM232
Dlg2,DLG2
Mfsd10,MFSD10
Napg,NAPG
Mbd3,MBD3
Arhgap12,ARHGAP12
Gm14305,ZNF788P
Sybu,SYBU
Crhbp,CRHBP
Psmb5,PSMB5
Fam169a,FAM169A
Paip2,PAIP2
Arhgap27,ARHGAP27
Mafa,MAFA
Olfr368,OR5C1
Jsrp1,JSRP1
Mab21l1,MAB21L1
Lcmt1,LCMT1
Mettl8,METTL8
Prr29,PRR29
Pbx3,PBX3
Exosc7,EXOSC7
Wapl,WAPL
Tuba1a,TUBA1A
L3mbtl1,L3MBTL1
Dpysl3,DPYSL3
Gm9992,UNC93A
Nr2f6,NR2F6
Fnbp1,FNBP1
Lrfn4,LRFN4
Zbtb4,ZBTB4
Fstl4,FSTL4
Foxred1,FOXRED1
Sirpb1a,SIRPG
Sirpb1a,SIRPA
Sf3b1,SF3B1
Tjp3,TJP3
Ptgir,PTGIR
Vstm2l,VSTM2L
Arih2,ARIH2
