mgi_symbol,hgnc_symbol
F2,F2
Zkscan7,ZKSCAN7
Zc3h12b,ZC3H12B
Lactb,LACTB
Olfr1357,OR1I1
Lipg,LIPG
Cat,CAT
Glrx3,GLRX3
Recql,RECQL
4833427G06Rik,C11orf88
Riok1,RIOK1
Gab2,GAB4
Rps6kb1,RPS6KB1
Ddi1,DDI1
Cep152,CEP152
Ap5b1,AP5B1
Gprin1,GPRIN1
Gm15557,GDF5OS
Capn6,CAPN6
Ccny,CCNY
Maea,MAEA
Ccdc105,CCDC105
Rbm47,RBM47
Nlrx1,NLRX1
Pdia6,PDIA6
Nwd2,NWD2
Ass1,ASS1
Fam204a,FAM204A
Rexo5,REXO5
Ssr1,SSR1
Serpine2,SERPINE2
Ces5a,CES5A
Golga7b,GOLGA7B
Pyroxd1,PYROXD1
Frmd3,FRMD3
Kcnj12,KCNJ18
Matk,MATK
Heatr5b,HEATR5B
Anapc15,ANAPC15
Slc1a6,SLC1A6
Slco1a5,SLCO1A2
Eri2,ERI2
Psme2,PSME2
Sart1,SART1
Zfp105,ZNF35
Tex19.1,TEX19
Irf9,IRF9
Fzd6,FZD6
Lyrm1,LYRM1
Sos2,SOS2
Bambi,BAMBI
Hoxa10,HOXA10
Fut8,FUT8
Slco1a6,SLCO1A2
Hmgb3,HMGB3
Apex1,APEX1
1700015G11Rik,CCDC179
Muc5ac,MUC5AC
Gsdmc3,GSDMC
Cage1,CAGE1
Cdyl2,CDYL2
Mrgprx1,MRGPRX1
Ice1,ICE1
Tet1,TET1
Six1,SIX1
Prrc2b,PRRC2B
Rgs17,RGS17
Baalc,BAALC
Saa4,SAA4
Trpc7,TRPC7
Top3b,TOP3B
Clec9a,CLEC9A
Thumpd1,THUMPD1
Rnf31,RNF31
Anapc15-ps,ANAPC15
Prpf6,PRPF6
Zfp36,ZFP36
Sqor,SQOR
Defb25,DEFB124
Rem1,REM1
Paip2b,PAIP2B
Rtn4,RTN4
Acsm1,ACSM1
Egr2,EGR2
Ist1,IST1
Crtac1,CRTAC1
Glra4,GLRA4
Dad1,DAD1
Slco1a4,SLCO1A2
Mcf2,MCF2
Tssk2,TSSK2
Lix1,LIX1
Tmppe,TMPPE
Asic2,ASIC2
Gm29797,C20orf204
Sdha,SDHA
Wdr18,WDR18
Kbtbd4,KBTBD4
Bhlha15,BHLHA15
Abca6,ABCA6
Sema4g,SEMA4G
Dgcr14,ESS2
Gsdmc4,GSDMC
